employee_name,employee_id,level,occupation,week_ending,mon_st_hours,tue_st_hours,wed_st_hours,thu_st_hours,fri_st_hours,sat_st_hours,sun_st_hours,mon_ot_hours,tue_ot_hours,wed_ot_hours,thu_ot_hours,fri_ot_hours,sat_ot_hours,sun_ot_hours,standard_rate,overtime_rate,benefits_rate
Luisa Robel,1014,JOURNEYWORKER,Carpenter,03/01/2025,8,7.5,0,7.8,0,0,0,0,0,0,2.2,0,0,0,44.8,67.2,15.68
Jacinthe Towne,1015,JOURNEYWORKER,Ironworker,03/01/2025,7.7,7.7,8,0,7.1,0,0,0,0,0,0,2.6,0,0,18.75,28.13,8.06
Eda Rogahn,1017,JOURNEYWORKER,Carpenter,03/01/2025,6.9,6.7,6.5,6.8,7.2,7.2,4.4,0,0,0,0,0,0,0,42.21,63.32,15.62
Ethyl Beer,1019,JOURNEYWORKER,Carpenter,03/01/2025,6.6,7.6,7.1,8,7.3,0,0,0,0,2.7,1.7,0,0,0,38.79,58.19,12.02
Arturo Graham-Monahan,1021,JOURNEYWORKER,Pipefitter,03/01/2025,7.6,7,0,7.8,7.5,0,0,0,0,0,0,0,0,0,54.63,81.95,16.39
Harry Botsford,1022,JOURNEYWORKER,Sheet Metal Worker,03/01/2025,8,8,7.4,7.8,7.6,7.2,0,0,0,0,0,0,0,0,102.54,153.82,30.76
Edmond Schiller,1000,APPRENTICE,Plumber,03/08/2025,7.2,6.6,6.8,6.5,6.5,0,2.7,0,0,0,0,0.8,0,0,33.27,49.91,11.31
Florine Leffler,1001,APPRENTICE,Electrician,03/08/2025,7.9,7.9,7.4,7.7,7.8,0,4,0,0,0,0,0,0,0,33.56,50.34,11.75
Viola Glover,1002,APPRENTICE,Ironworker,03/08/2025,6.6,7.5,7.3,6.9,7.1,6.5,0,1.9,2.3,0,0,0,0,0,31.04,46.56,11.48
Arthur Klocko,1003,APPRENTICE,Sheet Metal Worker,03/08/2025,7.1,8,7.9,7.4,7.9,2.1,5.9,0,0,2.5,1.7,0,0,0,26.23,39.35,11.8
Irwin Beahan,1004,APPRENTICE,Pipefitter,03/08/2025,7,7.1,7.2,6.8,8,5.1,0,0.9,2.5,2.1,0.7,0,0,0,35.09,52.64,14.74
Vernice Ferry,1005,JOURNEYWORKER,Carpenter,03/08/2025,0,6.7,6.6,7.7,7.7,0,0,0,0,0,0,0,0,0,48.71,73.07,20.46
Adalberto Baumbach,1006,JOURNEYWORKER,Electrician,03/08/2025,0,7.7,6.8,7.8,6.5,0,0,0,0,0,1.5,0,0,0,51.75,77.63,23.29
Anderson Kuhic-Shanahan,1007,JOURNEYWORKER,Pipefitter,03/08/2025,7.5,7,0,8,7.5,6.1,0,0,0,0,0,0,0,0,44.23,66.35,18.58
Haylie McLaughlin,1008,JOURNEYWORKER,Plumber,03/08/2025,7.4,8,7.6,7.6,6.9,0,0,0,0,0,0.9,0,0,0,43.79,65.69,13.14
Hortense Dickens,1009,JOURNEYWORKER,Ironworker,03/08/2025,6.5,6.7,7.4,7.1,7.4,0,0,0,2,0,0,0,0,0,50.19,75.29,15.56
Marcel Ullrich,1010,JOURNEYWORKER,Pipefitter,03/08/2025,6.5,7.3,7.9,7,7.6,0,0,0,0,0,1.3,0,0,0,54.21,81.32,24.39
Rhoda Schoen-Rowe,1011,JOURNEYWORKER,Ironworker,03/08/2025,7.6,7.3,6.7,7.1,7.4,0,0,0,0,0,0,0,0,0,56.55,84.82,20.36
Xzavier Berge,1012,JOURNEYWORKER,Carpenter,03/08/2025,7.9,7.7,6.6,6.8,7.5,2.5,0,0,0,0,0,1.1,0,0,38.71,58.07,17.03
Zoila Conroy,1013,JOURNEYWORKER,Sheet Metal Worker,03/08/2025,0,6.7,7.9,6.9,7.3,0,0,0,0,0,0,0,0,0,46.37,69.55,20.4
Lera Marquardt,1016,JOURNEYWORKER,Painter,03/08/2025,6.8,7.9,7.4,0,7.2,0,0,0,0,0,0,0,0,0,33.45,50.18,11.04
Eda Rogahn,1017,JOURNEYWORKER,Carpenter,03/08/2025,0,0,7.9,7,7.7,0,0,0,0,0,0,3,0,0,42.21,63.32,15.62
Jerrell Lesch,1018,JOURNEYWORKER,Mason,03/08/2025,7.7,7.7,7.2,8,6.6,0,0,0.6,0,0,0.6,0,0,0,40.08,60.12,17.23
Ethyl Beer,1019,JOURNEYWORKER,Carpenter,03/08/2025,7.5,6.6,0,6.6,7,0,0,0,0,0,0,0,0,0,38.79,58.19,12.02
Roma Kohler,1020,JOURNEYWORKER,Ironworker,03/08/2025,7.7,6.7,7.7,6.8,7.9,0,0,1,0,1.7,0.5,0,0,0,57,85.5,17.67
Arturo Graham-Monahan,1021,JOURNEYWORKER,Pipefitter,03/08/2025,7.8,7.2,6.6,6.5,6.9,0,0,0,0,0,0,0,0,0,54.63,81.95,16.39
Harry Botsford,1022,JOURNEYWORKER,Sheet Metal Worker,03/08/2025,6.5,7.9,6.7,7.3,7.7,5.2,0,0,0,0,0,0,2,0,49.3,73.95,14.79
Edmond Schiller,1000,APPRENTICE,Plumber,03/15/2025,7.2,6.8,6.5,6.8,7.2,0,0,0,0,0,0,1.1,0,0,33.27,49.91,11.31
Viola Glover,1002,APPRENTICE,Ironworker,03/15/2025,7.5,7.1,8,7.7,6.7,6.5,5,0,0,0,0,0,0,0,31.04,46.56,11.48
Arthur Klocko,1003,APPRENTICE,Sheet Metal Worker,03/15/2025,7,7,7.2,7.8,8,0,0,0,0,1.5,0,0,0,0,26.23,39.35,11.8
Irwin Beahan,1004,APPRENTICE,Pipefitter,03/15/2025,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0,35.09,52.64,14.74
Vernice Ferry,1005,JOURNEYWORKER,Carpenter,03/15/2025,6.9,7,0,7,7.8,5.5,0,0,0,0,2.2,2.2,0.6,0,48.71,73.07,20.46
Adalberto Baumbach,1006,JOURNEYWORKER,Electrician,03/15/2025,7.6,8,8,7.8,8,0,0,0.5,2.4,0,0,0,0,0,51.75,77.63,23.29
Anderson Kuhic-Shanahan,1007,JOURNEYWORKER,Pipefitter,03/15/2025,7.8,6.6,6.5,7.5,0,6.3,7.7,0,0.6,0,0,0,0,0,44.23,66.35,18.58
Haylie McLaughlin,1008,JOURNEYWORKER,Plumber,03/15/2025,6.8,7.8,7.1,7,7,0,0,0,0,0,0,0,0,0,43.79,65.69,13.14
Hortense Dickens,1009,JOURNEYWORKER,Ironworker,03/15/2025,6.7,6.5,7.9,6.8,7.9,0,0,0,0,0,0,0,0,0,50.19,75.29,15.56
Marcel Ullrich,1010,JOURNEYWORKER,Pipefitter,03/15/2025,7.9,7.9,7.5,7.5,7.1,0,0,3,0,0,0,0,0,0,54.21,81.32,24.39
Xzavier Berge,1012,JOURNEYWORKER,Carpenter,03/15/2025,0,7.5,7.7,8,7.6,0,5.6,0,0,0,0,0,0,2,38.71,58.07,17.03
Zoila Conroy,1013,JOURNEYWORKER,Sheet Metal Worker,03/15/2025,7.1,7.4,6.7,7.1,6.6,0,4.8,0,0,0,0,0,0,0,46.37,69.55,20.4
Luisa Robel,1014,JOURNEYWORKER,Carpenter,03/15/2025,6.5,0,6.5,7.3,7.3,0,0,0,0,0,2.1,0,0,0,44.8,67.2,15.68
Jacinthe Towne,1015,JOURNEYWORKER,Ironworker,03/15/2025,6.7,7.9,6.8,6.5,6.8,0,0,0,0,0,0,1.9,0,0,55.15,82.73,23.71
Lera Marquardt,1016,JOURNEYWORKER,Painter,03/15/2025,6.6,7.1,7.4,7,0,0,0,0,0,0,0,0,0,0,33.45,50.18,11.04
Roma Kohler,1020,JOURNEYWORKER,Ironworker,03/15/2025,0,7.6,6.7,7.1,7.6,0,0,0,0,0,0,0,0,0,57,85.5,17.67
Harry Botsford,1022,JOURNEYWORKER,Sheet Metal Worker,03/15/2025,6.8,6.8,6.8,7.5,7.5,0,0,0,2.3,0,1.5,0,0,0,49.3,73.95,14.79
Edmond Schiller,1000,APPRENTICE,Plumber,03/22/2025,7.2,7.1,7.6,7.5,7.4,0,0,2.3,0,0,0,0,0,0,33.27,49.91,11.31
Florine Leffler,1001,APPRENTICE,Electrician,03/22/2025,6.5,7.5,7.2,7.3,7.6,0,0,0,0,0,0,2.5,0,0,33.56,50.34,11.75
Viola Glover,1002,APPRENTICE,Ironworker,03/22/2025,6.8,8,6.6,6.9,8,0,0,0.5,1.8,0,0,0,0,0,31.04,46.56,11.48
Arthur Klocko,1003,APPRENTICE,Sheet Metal Worker,03/22/2025,7.4,6.9,7.2,7,7.3,7.1,0,0,0,0,0,0,1.5,0,26.23,39.35,11.8
Irwin Beahan,1004,APPRENTICE,Pipefitter,03/22/2025,0,6.5,7.6,7.4,8,0,0,0,0,0,0,2.4,0,0,35.09,52.64,14.74
Adalberto Baumbach,1006,JOURNEYWORKER,Electrician,03/22/2025,7.7,6.6,7.5,7.2,6.5,0,0,3,1.5,1.4,0,1.3,0,0,51.75,77.63,23.29
Anderson Kuhic-Shanahan,1007,JOURNEYWORKER,Pipefitter,03/22/2025,6.6,7.2,0,7.1,7.1,0,0,0,0,0,1,0,0,0,44.23,66.35,18.58
Haylie McLaughlin,1008,JOURNEYWORKER,Plumber,03/22/2025,6.6,6.9,6.6,7.2,6.9,0,0,0,0,0,0,0,0,0,43.79,65.69,13.14
Hortense Dickens,1009,JOURNEYWORKER,Ironworker,03/22/2025,6.9,7.8,7.8,0,6.8,0,0,0,0,1.9,0,0,0,0,50.19,75.29,15.56
Marcel Ullrich,1010,JOURNEYWORKER,Pipefitter,03/22/2025,7.1,6.6,7,8,0,0,0,0,0,1.1,2.5,0,0,0,86.74,130.11,39.02
Rhoda Schoen-Rowe,1011,JOURNEYWORKER,Ironworker,03/22/2025,8,8.9,8.8,8.9,9.5,6.4,9.1,4.3,3.7,4.5,4.6,3.5,2.6,3.2,56.55,84.82,20.36
Xzavier Berge,1012,JOURNEYWORKER,Carpenter,03/22/2025,7.7,6.5,8,7.8,6.9,0,0,0,0,0,0,0,0,0,38.71,58.07,17.03
Jacinthe Towne,1015,JOURNEYWORKER,Ironworker,03/22/2025,7.7,7.3,6.6,0,7.6,0,0,0,0,1.8,0,1.8,0,0,55.15,82.73,23.71
Lera Marquardt,1016,JOURNEYWORKER,Painter,03/22/2025,12,7.1,7.6,7.2,7,0,2.9,11.6,0,1,0,0,0,0,33.45,50.18,11.04
Eda Rogahn,1017,JOURNEYWORKER,Carpenter,03/22/2025,7,7.2,7.1,7.5,6.8,7.9,6.7,0,0,0,0,0,2.4,1.1,42.21,63.32,15.62
Jerrell Lesch,1018,JOURNEYWORKER,Mason,03/22/2025,8,6.6,6.5,7.4,7.1,0,0,2.5,0,2.1,0,0,0,0,40.08,60.12,17.23
Arturo Graham-Monahan,1021,JOURNEYWORKER,Pipefitter,03/22/2025,7.5,7.7,7.6,6.6,7.8,0,0,0,0,0,0,0,0,0,54.63,81.95,16.39
Harry Botsfrod,1022,JOURNEYWORKER,Sheet Metal Worker,03/22/2025,7,7,7.4,7,7,0,0,0,2.6,1.3,0,0,0,0,49.3,73.95,14.79
Edmond Schiller,1000,APPRENTICE,Plumber,03/29/2025,6.7,7.2,8,6.7,7.8,0,5.3,0,2.6,0,0,0,0,0,33.27,49.91,11.31
Florine Leffler,1001,APPRENTICE,Electrician,03/29/2025,7.9,7.9,7.1,7.1,8,0,0,0,2.1,0,0,0,0,0,33.56,50.34,11.75
Viola Glover,1002,APPRENTICE,Ironworker,03/29/2025,7.7,7.7,7.1,7.1,6.9,0,0,2.4,0,1.2,0,3,0,0,31.04,46.56,11.48
Arthur Klocko,1003,APPRENTICE,Sheet Metal Worker,03/29/2025,6.9,7.1,7,0,7.7,0,0,0,0,0,0,0,0,0,26.23,39.35,11.8
Vernice Ferry,1005,JOURNEYWORKER,Carpenter,03/29/2025,6.7,7.1,7.8,7.9,6.8,0,4.5,1.2,0,0,3,0,0,0,48.71,73.07,20.46
Adalberto Baumbach,1006,JOURNEYWORKER,Electrician,03/29/2025,8,6.6,7.4,6.5,6.6,0,0,0,0,0,0,0,0,0,51.75,77.63,23.29
Anderson Kuhic-Shanahan,1007,JOURNEYWORKER,Pipefitter,03/29/2025,7.2,7.4,7.1,7,7.6,0,4,0,0,0,0,0,0,0,44.23,66.35,18.58
Haylie McLaughlin,1008,JOURNEYWORKER,Plumber,03/29/2025,7.2,7,7.5,6.9,7.9,0,0,0,0,0,0,0,0,0,43.79,65.69,13.14
Rhoda Schoen-Rowe,1011,JOURNEYWORKER,Ironworker,03/29/2025,7.4,8,8,7.1,7.3,0,0,0,0,1.4,0,0,0,0,56.55,84.82,20.36
Luisa Robel,1014,JOURNEYWORKER,Carpenter,03/29/2025,6.6,6.5,6.8,6.6,7,0,0,0,0,0,0,1.7,0,0,44.8,67.2,15.68
Jacinthe Towne,1015,JOURNEYWORKER,Ironworker,03/29/2025,6.6,7.4,6.9,0,7.1,0,6.7,2.8,0,0,0,0,0,0,55.15,82.73,23.71
Lera Marquardt,1016,JOURNEYWORKER,Painter,03/29/2025,7.7,7.2,7.5,6.5,6.5,0,0,0,0,0,0,2.2,0,0,33.45,50.18,11.04
Eda Rogahn,1017,JOURNEYWORKER,Carpenter,03/29/2025,7.7,7.5,0,7.9,7.4,0,0,2.8,0,0,0,0,0,0,42.21,63.32,15.62
Jerrell Lesch,1018,JOURNEYWORKER,Mason,03/29/2025,7.2,7.3,7.9,7.6,6.6,0,0,3,0,0,0,0,0,0,40.08,60.12,17.23
Roma Klohler,1020,JOURNEYWORKER,Ironworker,03/29/2025,0,7.8,8,7.1,6.9,0,6.3,0,0,0.6,0,0,0,0,57,85.5,17.67
Arturo Graham-Monahan,1021,JOURNEYWORKER,Pipefitter,03/29/2025,6.7,0,6.7,7.8,7.1,0,0,0,0,0,2.1,0,0,0,54.63,81.95,16.39
Harry Botsford,1022,JOURNEYWORKER,Sheet Metal Worker,03/29/2025,7.4,8,6.7,7.3,6.9,6.2,0,0,0,0,0,1,0,0,49.3,73.95,14.79
Edmond Schiller,1000,APPRENTICE,Plumber,04/05/2025,6.7,7.6,7.3,7.4,6.9,0,0,0,0.6,2,0,0,0,0,33.27,49.91,11.31
Florine Leffler,1001,APPRENTICE,Electrician,04/05/2025,8,6.5,7,8,7.2,0,2.1,0,0,0,2.1,1.7,0,0,33.56,50.34,11.75
Viola Glover,1002,APPRENTICE,Ironworker,04/05/2025,8,7.7,7.8,7.5,7.2,0,0,0,0,0,0.5,0,0,0,31.04,46.56,11.48
Arthur Klocko,1003,APPRENTICE,Sheet Metal Worker,04/05/2025,7.3,6.7,7.9,7.8,8,0,0,0,0.7,0,0,2.7,0,0,26.23,39.35,11.8
Irwin Beahan,1004,APPRENTICE,Pipefitter,04/05/2025,7.6,7.1,6.5,6.7,6.5,0,0,0,0,0,0,2.4,0,0,35.09,52.64,14.74
Adalberto Baumbach,1006,JOURNEYWORKER,Electrician,04/05/2025,8,0,7.4,0,7.6,0,0,0.5,0,0,0,0,0,0,51.75,77.63,23.29
Anderson Kuhic-Shanahan,1007,JOURNEYWORKER,Pipefitter,04/05/2025,7.9,7.1,7.2,6.6,6.9,0,0,0.5,0,0,0,0,0,0,44.23,66.35,18.58
Haylie McLaughlin,1008,JOURNEYWORKER,Plumber,04/05/2025,6.8,7.2,7.6,7.2,7.9,7.7,2.5,0,0,0,2.8,0,0,0,43.79,65.69,13.14
Marcel Ullrich,1010,JOURNEYWORKER,Pipefitter,04/05/2025,0,8,7.7,7.1,6.9,0,0,0,0,0,1.1,3,0,0,54.21,81.32,24.39
Rhoda Schoen-Rowe,1011,JOURNEYWORKER,Ironworker,04/05/2025,7.1,7.1,7.7,7.2,6.5,0,0,0,0,0,0,0,0,0,56.55,84.82,20.36
Zoila Conroy,1013,JOURNEYWORKER,Sheet Metal Worker,04/05/2025,0,6.7,7.2,0,7.6,7.5,0,0,2,0,0,0,0,0,46.37,69.55,20.4
Jacinthe Towne,1015,JOURNEYWORKER,Ironworker,04/05/2025,7.4,7.2,7.5,7.2,7.3,0,0,2.8,0,0,0,0.9,0,0,55.15,82.73,23.71
Lera Marquardt,1016,JOURNEYWORKER,Painter,04/05/2025,7,7.4,7.7,7.6,0,0,0,0,0,0,0,0,0,0,33.45,50.18,11.04
Eda Rogahn,1017,JOURNEYWORKER,Carpenter,04/05/2025,6.9,7.9,0,6.8,6.5,0,0,0,0,0,2.1,0,0,0,42.21,63.32,15.62
Jerrell Lesch,1018,JOURNEYWORKER,Mason,04/05/2025,6.7,7.3,7.3,7.3,7.6,0,7.3,0,0,0,0,0,0,0,40.08,60.12,17.23
Ethyl Beer,1019,JOURNEYWORKER,Carpenter,04/05/2025,0,2.6,0,0,1.6,0,0,0,0,0,0,0,0,0,38.79,58.19,12.02
Roma Kohler,1020,JOURNEYWORKER,Ironworker,04/05/2025,6.5,7.8,0,0,7.4,0,0,0,2.6,0,0,0,0,0,57,85.5,17.67
Arturo Graaham-Monahan,1021,JOURNEYWORKER,Pipefitter,04/05/2025,6.5,7.1,7.3,7.5,7.9,0,0,0.5,2.7,0,0,0,0,0,54.63,81.95,16.39
Harry Botsford,1022,JOURNEYWORKER,Sheet Metal Worker,04/05/2025,7.7,6.8,6.6,6.9,7.8,0,3.9,0,1,0,0,0,0,0,49.3,73.95,14.79
Edmond Schiller,1000,APPRENTICE,Plumber,04/12/2025,7,7.4,7.5,7.8,7.4,0,0,0,0,0,0,1.2,0,0,33.27,49.91,11.31
Florine Leffler,1001,APPRENTICE,Electrician,04/12/2025,7.9,6.8,12,8,8,0,0,0,2.3,7.5,0,0,0,0,33.56,50.34,11.75
Viola Glover,1002,APPRENTICE,Ironworker,04/12/2025,8,7,8,6.7,7.9,3.3,0,0,2.7,0,0,0,0,0,31.04,46.56,11.48
Arthur Klocko,1003,APPRENTICE,Sheet Metal Worker,04/12/2025,6.7,0,7.1,7.3,7.2,0,0,0,0,0,1.1,2.1,0,0,26.23,39.35,11.8
Irwin Beahan,1004,APPRENTICE,Pipefitter,04/12/2025,7.8,7.5,7.1,6.7,7.5,0,6.8,0,2.4,0,0,0,0,2.6,35.09,52.64,14.74
Vernice Ferry,1005,JOURNEYWORKER,Carpenter,04/12/2025,6.6,0,7,7.9,7.6,0,0,1.6,0,0,0.9,0,0,0,48.71,73.07,20.46
Adalberto Baumbach,1006,JOURNEYWORKER,Electrician,04/12/2025,7.8,7.2,7.7,6.6,7.9,0,0,0.7,2.2,0,0,0,0,0,51.75,77.63,23.29
Anderson Kuhic-Shanahan,1007,JOURNEYWORKER,Pipefitter,04/12/2025,6.6,6.8,7.8,6.7,6.7,0,0,0,1.3,0,0,0,0,0,44.23,66.35,18.58
Haylie McLaughlin,1008,JOURNEYWORKER,Plumber,04/12/2025,7.2,7.8,7,0,7.3,0,0,0,3,0,0,0,0,0,43.79,65.69,13.14
Hortense Dickens,1009,JOURNEYWORKER,Ironworker,04/12/2025,0,7,6.6,7.6,6.9,0,0,0,0,0,0,0,0,0,50.19,75.29,15.56
Marcel Ullrich,1010,JOURNEYWORKER,Pipefitter,04/12/2025,6.9,0,6.6,6.7,6.9,0,0,0,0,0,0,0,0,0,54.21,81.32,24.39
Xzavier Berge,1012,JOURNEYWORKER,Carpenter,04/12/2025,7.4,7.4,7.5,6.7,7.2,0,0,0,3,0.6,0.9,0,0,0,38.71,58.07,17.03
Zoila Conroy,1013,JOURNEYWORKER,Sheet Metal Worker,04/12/2025,7.2,7.7,0,7,7.7,0,0,1.1,2.1,0,0,0,0,0,46.37,69.55,20.4
Luisa Robel,1014,JOURNEYWORKER,Carpenter,04/12/2025,7.3,8,7.3,7.3,6.8,0,0,0,0,0,0,1.9,0,0,44.8,67.2,15.68
Jacinthe Towne,1015,JOURNEYWORKER,Ironworker,04/12/2025,7,7.1,7.9,7.6,6.7,0,0,0,0,0,1.9,0,0,0,55.15,82.73,23.71
Lera Marquardt,1016,JOURNEYWORKER,Painter,04/12/2025,6.5,6.6,7.1,7.2,7.4,0,0,0,0,0,1.2,0,0,0,33.45,50.18,11.04
Eda Rogahn,1017,JOURNEYWORKER,Carpenter,04/12/2025,7.4,7.3,7.4,7.2,6.6,0,0,0,0,0,1.7,0,0,0,42.21,63.32,15.62
Jerrell Lesch,1018,JOURNEYWORKER,Mason,04/12/2025,7.2,6.8,7,7.4,7.2,0,0,0,0,0,0,0,0,0,40.08,60.12,17.23
Ethyl Beer,1019,JOURNEYWORKER,Carpenter,04/12/2025,7.8,7.3,0,7.9,6.8,0,0,0,0,0,0,0,0,0,38.79,58.19,12.02
Arturo Graham-Monahan,1021,JOURNEYWORKER,Pipefitter,04/12/2025,7.5,6.9,7.7,7.2,6.8,0,0,1.7,0,0,0,0,0,0,54.63,81.95,16.39
Harry Botsford,1022,JOURNEYWORKER,Sheet Metal Worker,04/12/2025,7.1,7.1,7.2,7.2,8,0,0,0,0,0,0,1.6,0,0,49.3,73.95,14.79
Edmond Schiller,1000,APPRENTICE,Plumber,04/19/2025,7.5,6.5,7.6,7.2,7.6,0,0,2.1,0,0,0,2,0,0,33.27,49.91,11.31
Florine Leffler,1001,APPRENTICE,Electrician,04/19/2025,6.8,7.2,7.1,7.6,7.8,2.8,0,0,2.5,0,0,0,0.6,0,33.56,50.34,11.75
Viola Glover,1002,APPRENTICE,Ironworker,04/19/2025,7.3,7.2,7.6,7.9,6.6,0,0,2.5,1.1,0,2.5,0,0,0,31.04,46.56,11.48
Irwin Beahan,1004,APPRENTICE,Pipefitter,04/19/2025,7,7.7,8,7.7,7.1,0,0,0,0,0,0,0,0,0,35.09,52.64,14.74
Vernice Ferry,1005,JOURNEYWORKER,Carpenter,04/19/2025,7,6.9,0,6.8,7.5,0,0,1,0,0,0,0,0,0,48.71,73.07,20.46
Adalberto Baumbach,1006,JOURNEYWORKER,Electrician,04/19/2025,7.2,6.7,6.7,7.6,7.5,7.6,0,0,0,2.1,2.8,1.7,0,0,51.75,77.63,23.29
Anderson Kuhic-Shanahan,1007,JOURNEYWORKER,Pipefitter,04/19/2025,7.3,7,7.8,6.5,7.6,0,0,0,0,0,0,0,0,0,15.92,23.89,6.69
Haylie McLaughlin,1008,JOURNEYWORKER,Plumber,04/19/2025,7.9,6.6,7.8,7.5,7.9,2.3,0,2.7,2.1,0,0,0,0,0,43.79,65.69,13.14
Rhoda Schoen-Rowe,1011,JOURNEYWORKER,Ironworker,04/19/2025,7.2,0,7.3,7,6.5,0,2.5,0,0,0,0,0.6,0,0,56.55,84.82,20.36
Xzavier Berge,1012,JOURNEYWORKER,Carpenter,04/19/2025,7.4,6.6,6.9,6.7,7.6,0,0,0,0,2.7,0,0,0,0,38.71,58.07,17.03
Zoila Conroy,1013,JOURNEYWORKER,Sheet Metal Worker,04/19/2025,6.6,7.8,7,7.9,0,0,0,0.5,3,2.7,1.7,0,0,0,46.37,69.55,20.4
Jacinthe Towne,1015,JOURNEYWORKER,Ironworker,04/19/2025,7.1,7.4,0,7.7,7.2,0,0,0,0,0,0,0,0,0,55.15,82.73,23.71
Eda Rogahn,1017,JOURNEYWORKER,Carpenter,04/19/2025,7.4,6.8,7.4,7.9,0,0,0,1.6,0,1.6,0,0,0,0,42.21,63.32,15.62
Ethyl Beer,1019,JOURNEYWORKER,Carpenter,04/19/2025,7.7,7.7,6.9,6.9,7.8,0,0,0,0,2.5,0,0,0,0,38.79,58.19,12.02
Roma Kohler,1020,JOURNEYWORKER,Ironworker,04/19/2025,8,7.2,6.5,7.7,7.8,0,0,1.6,2,1.6,3,0,0,0,57,85.5,17.67
Arturo Graham-Monahan,1021,JOURNEYWORKER,Pipefitter,04/19/2025,7.3,6.5,6.9,8,7.5,0,0,0,0,2.3,0,0,0,0,54.63,81.95,16.39
Harry Botsford,1022,JOURNEYWORKER,Sheet Metal Worker,04/19/2025,6.9,7.5,7.2,6.6,6.7,0,0,2.5,1.2,0,0,0,0,0,49.3,73.95,14.79
Florine Leffler,1001,APPRENTICE,Electrician,04/26/2025,6.6,8,7.5,7.2,7.8,0,0,1,0,0,0,1.7,0,0,33.56,50.34,11.75
Viola Glover,1002,APPRENTICE,Ironworker,04/26/2025,7.3,6.6,6.8,6.9,7.4,0,0,0,1.5,0,0.7,0,0,0,31.04,46.56,11.48
Arthur Klocko,1003,APPRENTICE,Sheet Metal Worker,04/26/2025,7.5,7.4,7.8,7,7.6,0,0,0,3,0,0,0,0,0,26.23,39.35,11.8
Irwin Beahan,1004,APPRENTICE,Pipefitter,04/26/2025,7.1,7.1,7.8,6.7,7.7,5.2,0,0,2.8,0,0,0,3,0,35.09,52.64,14.74
Vernice Ferry,1005,JOURNEYWORKER,Carpenter,04/26/2025,7.7,0,6.9,7.9,8,0,0,0,0,0,0,0,0,0,48.71,73.07,20.46
Anderson Kuhic-Shanahan,1007,JOURNEYWORKER,Pipefitter,04/26/2025,6.8,7.4,6.8,7.8,6.7,0,0,0,0,0,0,0,0,0,44.23,66.35,18.58
Haylie McLaughlin,1008,JOURNEYWORKER,Plumber,04/26/2025,8,0,6.6,7.2,7.3,0,0,1.8,0,1.9,2.3,0,0,0,43.79,65.69,13.14
Hortense Dickens,1009,JOURNEYWORKER,Ironworker,04/26/2025,0,6.8,7.3,6.6,7.4,0,0,0,2.9,0,0,0,0,0,50.19,75.29,15.56
Marcel Ullrich,1010,JOURNEYWORKER,Pipefitter,04/26/2025,7.3,6.8,7.8,7.6,6.5,0,0,0,2.6,0,0,0,0,0,54.21,81.32,24.39
Xzavier Berge,1012,JOURNEYWORKER,Carpenter,04/26/2025,0,6.7,6.6,6.9,7.9,0,0,0,0,0,0,0,0,0,38.71,58.07,17.03
Lera Marquardt,1016,JOURNEYWORKER,Painter,04/26/2025,6.5,7.5,7,6.7,7,0,0,0,0,0,0,0,0,0,33.45,50.18,11.04
